distraction_type,accuracy,parse_failure_rate,n,drop_vs_clean
conflicting_instruction,0.502,0.3552,2500,0.22919999999999996
style_distraction,0.5404,0.2096,2500,0.19079999999999997
instruction_in_the_middle,0.6416,0.1688,2500,0.08960000000000001
irrelevant_suffix,0.6692,0.1516,2500,0.061999999999999944
irrelevant_prefix,0.7016,0.1348,2500,0.02959999999999996
length_stress,0.7016,0.1428,2500,0.02959999999999996
negation_distraction,0.7196,0.1196,2500,0.011599999999999944
clean,0.7312,0.1184,2500,0.0
